experiment,model,split,accuracy,macro_f1,auc_ovr
exp03_resvit,resvit,val,0.9653979238754326,0.9660991636798087,0.9959741191439996
exp03_resvit,resvit,test,0.972318339100346,0.9730771511593428,0.9978059604357484
exp01_resnet,resnet,val,0.9653979238754326,0.9658420609124834,0.9951201533829576
exp01_resnet,resnet,test,0.9619377162629758,0.9628464085109548,0.9962550014334326
exp02_vit,vit,val,0.7785467128027682,0.7830346475507767,0.9061972133868128
exp02_vit,vit,test,0.7993079584775087,0.8018839532924039,0.9181396272924064
